"client.code","postcode","care.home.name","date.registration","purpose.built"
"I","AL1 1TA","stuart house","1987-07-31","N"
"MH","AL1 1TF","25 mile house lane","1997-03-01","N"
"MP","AL1 2BE","leyland house","1995-07-01","N"
"MP","AL1 2BE","woodside residential home","1995-07-01","N"
"MH","AL1 2NH","12 tavistock avenue","1995-07-01","N"
"MH","AL1 2NQ","5 tavistock avenue","2000-07-31","N"
"I","AL1 2NW","grace muriel house","1985-01-01","N"
"I","AL1 2PB","vesta lodge","1993-07-01","Y"
"MH","AL1 3AF","ridgmont","1992-07-01","N"
"MH","AL1 3PT","66  66a lemsford road","1993-03-31","N"
"I","AL1 3SP","strathmore lodge","1987-07-31","N"
"MH","AL1 3TU","2 upper lattimore road","1992-07-01","N"
"I","AL1 4DD","clare lodge","1985-01-01","Y"
"MH","AL1 5DL","beau sejour","1995-01-11","N"
"DE","AL1 5HL","the orchard nursing home","2013-09-19","Y"
"MH","AL10 0AW","the minims","1994-07-01","N"
"I","AL10 0BU","greenacres","1992-07-01","Y"
"DE","AL10 0FJ","acacia mews care home","2011-08-01","Y"
"MH","AL10 0NX","sherwood court","1998-11-04","N"
"MP","AL10 8AE","howe dell manor","2009-12-04",NA
"MP","AL10 8AE","the coach house","2013-11-26","N"
"I","AL10 8XY","st christophers nursing home","1994-07-01","N"
"I","AL10 9AX","hatfield nursing home","2008-09-05","Y"
"MH","AL10 9LS","10 nimrod drive","2013-12-27","N"
"MH","AL10 9LS","4 nimrod drive","2012-07-19","N"
"I","AL10 9RT","oak cottage care home","1987-07-31","N"
"I","AL10 9RW","honister","1987-07-31","N"
"MP","AL2 1BG","holly house","2004-11-25","N"
"MP","AL2 1ED","colney lodge","2005-06-28","N"
"YA_MH","AL2 1ES","palm lodge","2007-01-19","N"
"MP","AL2 1NA","abbey lodge","1998-02-17","N"
"MP","AL2 1NA","abbey lodge care home unit 1","2012-11-07","N"
"MH","AL2 1ND","bowmans lodge","2001-11-22","N"
"MH","AL2 2QZ","birchwood bungalow","1996-07-01","N"
"I","AL2 3HH","chiswell residential home","1995-07-01","N"
"MH","AL2 3HL","greenwood cottage","1994-07-01","N"
"MH","AL2 3HL","villosa ii","1994-07-01","N"
"MH","AL2 3HN","greenwood lodge","1992-07-01","N"
"DE","AL2 3TN","allington court","1994-04-07","Y"
"I","AL2 3TN","tenterden house nursing home","1989-07-01","N"
"I","AL3 4DH","verulam house nursing home","1996-07-01","N"
"DE","AL3 4GG","fonthill house","2013-05-16","Y"
"I","AL3 4LA","fosse house","1992-07-01","Y"
"MP","AL3 5JE","st claires home","1993-07-01","N"
"I","AL3 5QP","oak tree manor","1998-06-01","Y"
"I","AL3 5RF","maryland","1987-07-31","N"
"MH","AL3 6DJ","1 high oaks","1991-10-17","N"
"I","AL3 7QG","st matthews","2003-10-27","N"
"I","AL3 8QB","caddington hall","1994-07-01","Y"
"MH","AL4 0AT","1  2 crosby close","1996-05-19",NA
"MH","AL4 0DU","lavender lodge","1993-07-01","N"
"MH","AL4 0DU","villosa i","1993-07-01","N"
"MH","AL4 0EY","nicholas house","1998-11-04","N"
"MH","AL4 0TZ","3 hixberry lane","2005-07-05","N"
"MH","AL4 8BU","1 station road","1994-07-01","N"
"I","AL4 9DH","lyndon eventide home","1994-07-01","N"
"I","AL4 9DQ","taras retreat residential care home","2007-01-19","Y"
"MH","AL5 2EN","stairways","1987-07-31","N"
"MH","AL5 2QF","redclyffe","1987-07-31","N"
"I","AL5 2QT","rosebery house","1987-07-31","N"
"I","AL5 3DD","harpenden bethesda home","1985-01-01","Y"
"I","AL5 4AJ","holly lodge","1998-11-04","N"
"I","AL5 4BQ","field house nursing home","1987-07-01","N"
"I","AL5 5SD","willow court","2001-06-04","Y"
"MH","AL5 5TA","meadow acres","1998-11-04","N"
"MH_PH","AL6 0PL","broadview","1998-11-30","N"
"MH","AL6 0PL","hillcrest","2012-12-13",NA
"MH","AL6 0PL","homeside","2001-02-12","N"
"MH","AL6 0PR","14 gwynfa close","1997-10-28","N"
"MH","AL6 0PR","three oaks care home","1997-10-28","N"
"MH","AL6 9EL","gombards","2005-01-20","Y"
"I","AL6 9SN","autumn vale care centre","2009-07-10","N"
"I","AL6 9SN","heath lodge","1996-06-04","N"
"MH","AL7 2BE","the meadows short break centre","2008-11-06","N"
"I","AL7 2JB","elizabeth house","1985-08-01","Y"
"MH","AL7 2NN","2022 lincoln close","1998-11-04","N"
"MH","AL7 3HX","29 jonquil close","2004-12-09","Y"
"PH","AL7 3SF","st michaels house","1994-07-01","N"
"I","AL7 4ND","hyde valley house","1993-07-01","N"
"MH","AL8 7AQ","6a sewells","1997-03-01","Y"
"DE","AL8 7SR","st andrews residential home","1986-09-23","N"
"I","AL8 7TD","stanborough lodge","1988-07-01","N"
"I","AL9 5AR","st audreys","1987-07-31","N"
"MH","AL9 6NN","mymwood lifeskills centre","2013-03-21","Y"
"MH","B10 9QE","1 greatwood road","1988-07-01","N"
