"msoa11","year.trans","mean_price","max_price","min_price","n.transactions"
"E02000001","2010",524581.063291139,2470000,195000,237
"E02000001","2011",541191.58203125,2800000,205000,256
"E02000001","2012",537159.78680203,2000000,242500,197
"E02000001","2013",1714663.85412262,64000000,10000,473
"E02000001","2014",3870124.39467312,96264933,3000,413
"E02000001","2015",3239308.82741117,90674789,15000,394
"E02000001","2016",1864409.94444444,30400000,15000,126
"E02000002","2010",179266.416666667,285000,69500,60
"E02000002","2011",191617.647058824,285000,78000,51
"E02000002","2012",189743.928571429,395000,75000,42
"E02000002","2013",187260.701492537,320000,93000,67
"E02000002","2014",211948.375,340000,62500,64
"E02000002","2015",258076.666666667,850000,115000,69
"E02000002","2016",272787.777777778,465000,85950,45
"E02000003","2010",203742.222222222,375000,80000,99
"E02000003","2011",193483.461538462,320000,80000,91
"E02000003","2012",195933.717948718,430000,60000,117
"E02000003","2013",204559.731092437,390000,73000,119
"E02000003","2014",230427.221556886,635000,21000,167
"E02000003","2015",263593.944099379,560000,21000,161
"E02000003","2016",303047.554216867,1068000,75000,83
"E02000004","2010",193024.508196721,295000,87500,61
"E02000004","2011",195784.513888889,320000,82000,72
"E02000004","2012",204149.916666667,306000,82000,60
"E02000004","2013",206944.14084507,289995,104000,71
"E02000004","2014",238742.362637363,382500,135000,91
"E02000004","2015",270189.941860465,425050,131595,86
"E02000004","2016",341880.952380952,450000,150000,63
"E02000005","2010",171692.793103448,250000,100000,58
"E02000005","2011",168655.790123457,280000,91500,81
"E02000005","2012",165629.916666667,240000,86000,60
"E02000005","2013",183048.597560976,250000,102000,82
"E02000005","2014",219369.508928571,350000,12000,112
"E02000005","2015",248398.512658228,1222000,85000,158
"E02000005","2016",291044.421052632,395000,100000,95
"E02000007","2010",180312.5,305000,96000,74
"E02000007","2011",162814.394736842,299950,81000,76
"E02000007","2012",162665.9,220000,71000,50
"E02000007","2013",175631.06557377,500000,65000,61
"E02000007","2014",199152.472527473,336000,77000,91
