"local authority: district / unitary (prior to April 2015),""mnemonic"",""February 2010"",""February 2011"",""February 2012"",""February 2013"",""February 2014"",""February 2015"",""February 2016"""
"Babergh,""E07000200"",330,380,430,470,330,170,160"
"Basildon,""E07000066"",1280,1460,1630,1790,1370,950,640"
"Bedford,""E06000055"",1130,1190,1450,1460,1120,850,710"
"Braintree,""E07000067"",840,890,970,1040,730,480,360"
"Breckland,""E07000143"",760,720,830,810,630,360,240"
"Brentwood,""E07000068"",320,350,400,360,270,150,110"
"Broadland,""E07000144"",410,440,480,500,360,230,160"
"Broxbourne,""E07000095"",650,790,820,800,620,390,290"
"Cambridge,""E07000008"",490,510,590,560,370,260,270"
"Castle Point,""E07000069"",510,530,590,550,460,290,220"
"Central Bedfordshire,""E06000056"",1310,1400,1510,1530,1020,610,530"
"Chelmsford,""E07000070"",860,930,1090,1000,740,560,420"
"Colchester,""E07000071"",930,1020,1190,1130,810,530,460"
"Dacorum,""E07000096"",820,830,840,820,620,450,380"
"East Cambridgeshire,""E07000009"",330,330,410,460,290,180,130"
"East Hertfordshire,""E07000242"",490,540,670,650,420,290,240"
"Epping Forest,""E07000072"",820,820,950,930,670,460,410"
"Fenland,""E07000010"",640,670,810,790,580,320,290"
"Forest Heath,""E07000201"",270,300,320,340,190,110,90"
"Great Yarmouth,""E07000145"",1000,1110,1240,1330,1020,650,580"
"Harlow,""E07000073"",750,840,950,930,710,480,380"
"Hertsmere,""E07000098"",560,620,520,550,460,340,280"
"Huntingdonshire,""E07000011"",690,690,900,860,520,310,250"
"Ipswich,""E07000202"",970,1160,1390,1260,1020,640,510"
"King`s Lynn and West Norfolk,""E07000146"",790,860,1000,1020,840,420,370"
"Luton,""E06000032"",1750,1880,2270,2160,1760,1200,1030"
"Maldon,""E07000074"",270,290,330,310,240,160,100"
"Mid Suffolk,""E07000203"",340,360,470,410,300,210,150"
"North Hertfordshire,""E07000099"",650,630,690,720,530,380,360"
"North Norfolk,""E07000147"",560,540,570,550,410,230,150"
"Norwich,""E07000148"",1060,1180,1290,1340,980,670,430"
"Peterborough,""E06000031"",1530,1640,2040,2350,1750,1060,630"
"Rochford,""E07000075"",350,410,450,430,340,200,130"
"South Cambridgeshire,""E07000012"",410,410,460,450,300,190,190"
"South Norfolk,""E07000149"",430,470,510,510,400,270,160"
"Southend-on-Sea,""E06000033"",1320,1470,1700,1650,1380,860,620"
"St Albans,""E07000240"",450,490,510,550,380,270,200"
"St Edmundsbury,""E07000204"",440,510,650,560,400,270,160"
"Stevenage,""E07000243"",550,660,780,760,640,410,340"
"Suffolk Coastal,""E07000205"",390,420,530,450,270,130,100"
"Tendring,""E07000076"",1000,1150,1220,1110,1000,710,610"
"Three Rivers,""E07000102"",400,380,410,390,310,200,180"
"Thurrock,""E06000034"",1340,1510,1670,1760,1380,920,720"
"Uttlesford,""E07000077"",290,280,290,260,190,130,90"
"Watford,""E07000103"",530,540,660,640,490,350,300"
"Waveney,""E07000206"",780,930,1020,1030,730,440,330"
"Welwyn Hatfield,""E07000241"",610,580,640,620,470,350,290"
"Amber Valley,""E07000032"",790,840,900,810,590,430,310"
"Ashfield,""E07000170"",830,900,1150,1140,910,700,510"
"Bassetlaw,""E07000171"",630,690,860,810,690,450,330"
"Blaby,""E07000129"",460,420,460,440,300,180,150"
"Bolsover,""E07000033"",520,570,640,610,490,300,220"
