"oslaua","wave","mean_price","max_price","min_price","transactions"
"E06000001",0,122319.165128205,748000,10000,975
"E06000001",1,121334.477703456,830000,12000,1794
"E06000001",2,122774.95727198,1400000,10000,2434
"E06000001",3,125264.202680067,2901488,10000,2388
"E06000002",0,114232.671908506,650000,10000,1399
"E06000002",1,115835.255619048,1875000,13750,2625
"E06000002",2,142251.700207162,22780712,14000,3379
"E06000002",3,149254.284984985,12200000,2000,3330
"E06000003",0,127373.178129298,800000,11506,1454
"E06000003",1,123665.551318603,540000,12500,2806
"E06000003",2,135059.246113307,12600000,5500,3795
"E06000003",3,138922.390236318,4500000,6000,3216
"E06000004",0,146021.789644013,1000000,15000,2472
"E06000004",1,141585.311428571,1375000,7750,4550
"E06000004",2,154840.158245614,5150000,8500,5700
"E06000004",3,160110.618108652,7888468,3500,4970
"E06000005",0,145280.738021638,750000,20000,1294
"E06000005",1,134453.604886268,706000,15000,2374
"E06000005",2,142559.521139706,4028725,15000,3264
"E06000005",3,183676.336040609,34232962,1000,2955
"E06000006",0,138060.559535334,950000,29000,1033
"E06000006",1,132104.243753187,610000,23000,1961
"E06000006",2,153145.137047711,13500000,1000,3123
"E06000006",3,185659.543546695,31900000,16000,2859
"E06000007",0,183041.240641711,1600000,30000,2431
"E06000007",1,180506.937668767,1482500,10000,4444
"E06000007",2,194891.582952816,13800000,20000,6570
"E06000007",3,212503.164697826,8725000,600,5841
"E06000008",0,113779.765318627,850000,10000,1632
"E06000008",1,113301.775518848,890000,15750,2361
"E06000008",2,130740.519879518,14600000,10000,3320
"E06000008",3,127387.891006352,4057984,10000,2991
"E06000009",0,111987.637191157,785000,18000,1538
"E06000009",1,104223.502919959,690000,1427,2911
"E06000009",2,124127.009111056,21755000,3300,4061
"E06000009",3,110321.072761194,2000000,3000,3752
"E06000010",0,98247.4367861363,495000,10000,2539
"E06000010",1,98041.0805397428,475000,8000,4743
"E06000010",2,110729.849719516,37250000,5000,6774
"E06000010",3,120435.309988884,25200000,4247,6297
"E06000011",0,167945.680768445,1520000,30000,4893
"E06000011",1,162784.054805312,2500000,15000,8886
"E06000011",2,172773.155362513,23478000,500,11972
"E06000011",3,188006.61866519,27285237,4926,10833
"E06000012",0,122628.101004759,640000,5250,1891
"E06000012",1,119742.443241743,750000,10500,3603
"E06000012",2,124129.072623333,3540000,6500,4723
"E06000012",3,131389.602786605,7200000,5000,4091
"E06000013",0,132795.658708627,887000,10000,1843
"E06000013",1,126963.848414986,775000,22500,3470
"E06000013",2,140660.486822043,8500000,23000,4591
"E06000013",3,145235.470668177,2550005,9500,4415
"E06000014",0,201574.11961564,1370000,8000,3018
"E06000014",1,205529.599827139,1670000,34000,5785
"E06000014",2,236917.896937812,43482516,2000,7413
"E06000014",3,259493.822499158,28100000,5500,5938
"E06000015",0,140031.75379845,595000,10000,3225
"E06000015",1,140126.136991214,1950000,22500,5577
"E06000015",2,162617.688640298,50600000,4000,7509
"E06000015",3,177070.873419673,35570000,19000,6486
"E06000016",0,137863.986189579,860000,27000,3186
"E06000016",1,138300.466082705,805000,25000,4909
"E06000016",2,154159.717085577,22632384,10000,6684
"E06000016",3,178457.067419158,33600000,10000,6556
"E06000017",0,278890.032727273,1687500,40000,550
"E06000017",1,259899.706357215,1950000,55000,991
"E06000017",2,271421.323349217,2500000,40000,1469
"E06000017",3,288750.725623583,2868597,10000,1323
"E06000018",0,120868.240310078,2500000,22000,3096
"E06000018",1,118557.082623839,1200000,21250,5168
"E06000018",2,163881.251589341,41421197,4750,7393
"E06000018",3,175558.395945387,68591328,6875,7251
"E06000019",0,222424.349936682,1791586,33000,2369
"E06000019",1,215286.924877135,1135000,33000,4273
"E06000019",2,223841.679914454,7751551,8000,5611
"E06000019",3,239815.354243542,8040000,8000,4878
"E06000020",0,156640.079089275,595000,38000,1669
"E06000020",1,152792.777553957,825000,25000,3475
"E06000020",2,161289.729873082,11000000,10000,5279
"E06000020",3,169855.776840039,6661378,5000,5095
"E06000021",0,98544.1100775194,440000,15000,2580
"E06000021",1,98154.4438809261,865000,7000,4535
"E06000021",2,112069.888855825,18900000,12500,6721
"E06000021",3,124633.976855424,18000000,17000,6481
"E06000022",0,295622.677004539,2400000,50000,2644
"E06000022",1,289774.344673957,4000000,55000,4938
"E06000022",2,326879.45104527,28250000,11280,6649
"E06000022",3,373945.191926473,25000000,250,5549
"E06000023",0,208530.902294366,1500000,30000,6407
"E06000023",1,209665.166977612,1900000,28000,11792
"E06000023",2,245905.974389258,35125000,3300,16087
"E06000023",3,298110.636377246,45980000,150,13360
"E06000024",0,217711.291259425,1900000,12500,3581
"E06000024",1,214849.349760544,1501000,36217,6473
"E06000024",2,238232.692915215,9154271,10000,8610
"E06000024",3,266689.775840937,23630000,2290,7343
"E06000025",0,210713.76866485,2000000,35000,3670
"E06000025",1,208009.284486526,1750000,42000,6865
"E06000025",2,228863.918161788,17800000,5000,9531
"E06000025",3,279513.840876089,32325000,275,8264
"E06000026",0,159228.724507042,1200000,28000,3550
"E06000026",1,157661.952193121,980000,26250,6338
"E06000026",2,168259.084711239,2766979,5000,8346
"E06000026",3,187608.575384615,8388984,3000,7800
"E06000027",0,184445.802644004,1342500,22500,2118
"E06000027",1,181646.459605911,1525000,33000,4060
"E06000027",2,187816.083076365,7537694,2000,5513
"E06000027",3,212762.985305798,11999993,1000,5036
"E06000028",0,220974.792524549,1275000,24500,3157
"E06000028",1,216328.95428372,1650000,32500,5731
"E06000028",2,242375.523924356,37000000,15000,7879
"E06000028",3,257032.299846946,6050000,1,7187
"E06000029",0,275510.119112495,4800000,55000,2569
"E06000029",1,282807.465517241,4135000,47000,4408
"E06000029",2,316147.633454907,21755000,20300,6032
"E06000029",3,359025.31025641,13385244,195,5460
"E06000030",0,171916.97664331,875000,39000,2997
"E06000030",1,166652.728666787,1030000,42500,5543
"E06000030",2,190245.946751465,27166304,19375,8019
"E06000030",3,226920.037160431,24000000,20000,7804
"E06000031",0,154999.700493938,1200000,18000,2227
"E06000031",1,154902.391394386,3530000,26000,4346
"E06000031",2,185126.023093186,14100000,10000,6149
"E06000031",3,215409.007805871,75000000,27000,5893
"E06000032",0,159700.650451354,615000,25000,1994
"E06000032",1,161284.00441623,730000,22000,3623
"E06000032",2,178123.962416107,9025000,5000,5215
"E06000032",3,233181.168106172,21083398,5500,4747
"E06000033",0,210615.029335314,1950000,40000,2693
"E06000033",1,211143.993091196,1675000,30000,5066
"E06000033",2,239830.33671188,32521200,500,6709
"E06000033",3,272036.040849408,22000000,2250,6169
"E06000034",0,181624.901247965,660000,54995,1843
"E06000034",1,181501.130672028,900000,40000,3482
"E06000034",2,201993.709856459,9600000,14000,5225
"E06000034",3,260434.404496579,25000000,3357,5115
"E06000035",0,172739.421774931,1425000,14000,3279
"E06000035",1,170972.482034105,1095000,18000,6568
"E06000035",2,194961.628754873,48788960,4750,8722
"E06000035",3,227633.658470617,12369916,100,8134
"E06000036",0,271986.628603731,4400000,63700,1769
"E06000036",1,267028.136021667,3520000,42500,3323
"E06000036",2,323802.818039741,20034382,50000,4479
"E06000036",3,379615.26759388,16800000,2000,3595
"E06000037",0,305051.689909052,2450000,44950,2309
"E06000037",1,305259.238870273,2750000,37500,4178
"E06000037",2,328443.270783029,42900000,39900,5798
"E06000037",3,421896.879356568,58028903,100,4476
"E06000038",0,228393.792403971,1100000,35000,2317
"E06000038",1,230342.300916138,1426500,45000,4257
"E06000038",2,301005.399898888,93223896,6850,5934
"E06000038",3,357140.609813084,90968237,10500,5136
"E06000039",0,206103.282546495,950000,27200,1398
"E06000039",1,207786.260645161,750000,30000,2325
"E06000039",2,248434.207775151,18800000,10000,3807
"E06000039",3,338592.255799567,36347444,500,3233
"E06000040",0,421222.132965166,4000000,69000,2354
"E06000040",1,438480.51536643,4850000,41250,3807
"E06000040",2,534537.14371708,90201395,30000,5316
"E06000040",3,585101.853454635,29238650,1000,4067
"E06000041",0,313620.850282486,2600000,71550,2478
"E06000041",1,324057.246867443,4500000,37500,4549
"E06000041",2,364599.591467463,12493713,12000,6024
"E06000041",3,470397.751838622,98250000,100,4759
"E06000042",0,205331.171944517,1350000,23250,3821
"E06000042",1,204734.034920182,1750000,20000,7016
"E06000042",2,251342.174883012,32030750,21000,9189
"E06000042",3,290873.91514184,54865744,1000,8143
"E06000043",0,276827.65684469,2300000,31000,4887
"E06000043",1,283039.83640822,2750000,4000,8564
"E06000043",2,330545.29554175,45912994,2500,10946
"E06000043",3,380967.175681618,20484950,100,9096
"E06000044",0,171613.653700906,1150000,28500,2648
"E06000044",1,168832.579655317,1350000,23750,4758
"E06000044",2,198386.463882784,19972500,5000,6825
